latitude,longitude,area_in_meters,confidence,geometry,full_plus_code,tile_id
-11.93908595,-75.2594859,26.1178,0.7801,"POLYGON((-75.2594615125635 -11.9391095063755, -75.2594717622477 -11.9390553267602, -75.2595102756991 -11.939062391184, -75.2595000260224 -11.9391165708005, -75.2594615125635 -11.9391095063755))",57W63P6R+966F,911
-11.91042422,-75.26321887,46.6052,0.7703,"POLYGON((-75.2631748345417 -11.9104299211046, -75.2632073756032 -11.91038197068, -75.2632629098046 -11.9104185202726, -75.2632303687488 -11.9104664707033, -75.2631748345417 -11.9104299211046))",57W63PQP+RPJ5,911
-11.90055767,-75.23337835,40.5238,0.6706,"POLYGON((-75.2333366539997 -11.9005467333052, -75.2334054271082 -11.9005245904179, -75.2334200338939 -11.9005685905177, -75.2333512607759 -11.9005907334086, -75.2333366539997 -11.9005467333052))",57W63QX8+QJHQ,911
-11.92137202,-75.24849909,23.6003,0.7556,"POLYGON((-75.2484707497288 -11.9213579431012, -75.2485183680544 -11.9213471947906, -75.2485274279325 -11.9213861175376, -75.2484798096001 -11.9213968658492, -75.2484707497288 -11.9213579431012))",57W63QH2+FJ22,911
-11.92946782,-75.2569502,57.7537,0.7677,"POLYGON((-75.2569432443997 -11.9294083428124, -75.2569845566137 -11.9294184341563, -75.2569571328341 -11.9295272965883, -75.2569158206043 -11.9295172052411, -75.2569432443997 -11.9294083428124))",57W63PCV+6678,911
-11.93840797,-75.2591149,23.545,0.7854,"POLYGON((-75.2590905119148 -11.9384276972163, -75.2590981552328 -11.9383816228001, -75.2591393012732 -11.9383882410328, -75.259131657962 -11.9384343154501, -75.2590905119148 -11.9384276972163))",57W63P6R+J9JM,911
-11.93828996,-75.26149071,47.8122,0.7355,"POLYGON((-75.2614391547018 -11.9382963203805, -75.2614514129064 -11.9382564762708, -75.261542271815 -11.9382835795909, -75.2615300136225 -11.9383234237044, -75.2614391547018 -11.9382963203805))",57W63P6Q+MCJF,911
-11.89651224,-75.26959664,153.9446,0.8846,"POLYGON((-75.2695088031979 -11.896506359808, -75.2695530865485 -11.8964368941394, -75.2696844701749 -11.8965181283892, -75.2696401868456 -11.8965875940772, -75.2695088031979 -11.896506359808))",57W64P3J+95RH,911
-11.92149098,-75.24886653,70.8434,0.7366,"POLYGON((-75.2488379 -11.9215366, -75.2488319 -11.9214399, -75.2488762 -11.9214372, -75.2488784 -11.921472, -75.2489033 -11.9214705, -75.2489072 -11.9215325, -75.2488379 -11.9215366))",57W63QH2+CF27,911
-11.92035873,-75.24963857,73.2118,0.7947,"POLYGON((-75.2495846936672 -11.9203764047297, -75.2496001029056 -11.9203137546353, -75.2496769291064 -11.92033207859, -75.2496691660497 -11.9203636412692, -75.249698219169 -11.9203705707747, -75.2496905730072 -11.9204016581945, -75.2495846936672 -11.9203764047297))",57W63QH2+V45P,911
